mode,round_4_ASC,target_share_percent,round_4_late_mean_share_percent,log_ratio,damping_factor,raw_correction,temporary_ASC,normalization_against_walk,final_round_5_ASC
car,-0.27979614837234024,34.0,35.710291838,-0.049078409401494945,0.25,-0.012269602350373736,-0.29206575072271396,-0.059684821873907834,-0.35175057259662179
pt,0.22971538337764302,24.0,24.795800826,-0.032620486954223871,0.25,-0.0081551217385559677,0.22156026163908704,-0.059684821873907834,0.16187543976517921
bike,-1.1684385773353396,18.0,20.591022584,-0.13448342601910312,0.25,-0.033620856504775781,-1.2020594338401154,-0.059684821873907834,-1.2617442557140233
walk,0.0,24.0,18.902884753,0.23873928749563134,0.25,0.059684821873907834,0.059684821873907834,-0.059684821873907834,0.0
