mode,old_ASC,target_share_percent,round_3_late_mean_share_percent,logarithmic_correction,damping_factor,temporary_ASC,normalization_against_walk,final_round_4_ASC
car,-0.052867606,34.0,36.726399880,-0.0771353146206465,0.5,-0.091435263310323256,-0.18836088506201698,-0.27979614837234024
pt,0.408378132,24.0,23.538974988,0.019396272879319974,0.5,0.41807626843966,-0.18836088506201698,0.22971538337764302
bike,-0.851722801,18.0,23.268058505,-0.256709782546645,0.5,-0.98007769227332253,-0.18836088506201698,-1.1684385773353396
walk,0.0,24.0,16.466566627,0.37672177012403396,0.5,0.18836088506201698,-0.18836088506201698,0.0
