"rank","size","eligible","excel_row","mp_id","name","address","epsg25832_easting","epsg25832_northing","epsg31468_x","epsg31468_y","nearest_stop_distance_m","nearest_stop_id","matched_matsim_stop_ids","served_matsim_stop_ids","matched_stop_groups","matched_stop_names","distinct_line_count","matched_line_ids","route_count","matsim_modes","lhm_mode_flags","mode_flag_comparison","carsharing_spaces","possible_transfer_pair_count","current_transfer_relation_count","current_transfer_times","confidence","selection_reason","unresolved_issue"
"13","alternative","true","108","1","Galeriestraße","Galeriestraße 2 - 6","691809.529","5335555.255","4468749.297","5334116.255","68.6","106532","106320;106320.1;106320.2;106322;106322.1;106322.2;106322.3;106322.4;106323;106323.1;106530;106532;106532.1;106532.2;106532.3;106533","106320;106320.1;106320.2;106322;106322.1;106322.2;106322.3;106322.4;106323;106323.1;106532;106532.1;106532.2;106532.3;106533","106319=[106320;106320.1;106320.2;106322;106322.1;106322.2;106322.3;106322.4;106323;106323.1]|106530=[106530;106532;106532.1;106532.2;106532.3;106533]","Odeonsplatz;Von-der-Tann-Straße","11","XXX---2271997_1;XXX---2272000_1;XXX---2272051_3;XXX---2272068_3;XXX---2272125_3;XXX---2272126_3;XXX---2272129_3;XXX---MUC_U3_neu Prognose;XXX---MUC_U4_neu Prognose;XXX---MUC_U5_neu Prognose;XXX---MUC_U6_neu Prognose","107","bus;subway","bus=Ja|tram=Nein|u_bahn=Ja|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","7","110","13","106320>106320=180s;106320>106322=180s;106320>106323=180s;106322>106320=180s;106322>106322=180s;106322>106323=180s;106323>106320=180s;106323>106322=180s;106323>106323=180s;106532>106532=180s;106532>106533=180s;106533>106532=180s;106533>106533=180s","high","deterministic rank from 11 lines, 2 MATSim modes, 7 carsharing spaces, mp_id 1","none"
"14","alternative","true","36","1301","Arabellapark","Elektrastraße 6","694945.463","5336636.736","4471924.871","5335074.567","33.2","107691","107688;107689;107689.1;107690;107691;107691.1;107692;107692.1;107693;107693.1;107694;107694.1;107694.2;107694.3;107695;107696;107697;107697.1;107697.2;107697.3;107698;107698.1","107689;107689.1;107690;107691;107691.1;107692;107692.1;107693;107693.1;107694;107694.1;107694.2;107694.3;107695;107697;107697.1;107697.2;107697.3;107698;107698.1","107688=[107688;107689;107689.1;107690;107691;107691.1;107692;107692.1;107693;107693.1;107694;107694.1;107694.2;107694.3;107695]|107696=[107696;107697;107697.1;107697.2;107697.3;107698;107698.1]","Arabellapark;Arabellapark Nord","11","XXX---2271998_1;XXX---2272066_3;XXX---2272069_3;XXX---2272096_3;XXX---2272097_3;XXX---2272098_3;XXX---2272100_3;XXX---2272101_3;XXX---2272131_3;XXX---2272140_3;XXX---MUC_U4_neu Prognose","67","bus;subway","bus=Ja|tram=Ja|u_bahn=Ja|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:mismatch;u_bahn:match","7","110","53","107689>107689=180s;107689>107690=180s;107689>107691=180s;107689>107692=180s;107689>107693=180s;107689>107694=180s;107689>107695=180s;107690>107689=180s;107690>107690=180s;107690>107691=180s;107690>107692=180s;107690>107693=180s;107690>107694=180s;107690>107695=180s;107691>107689=180s;107691>107690=180s;107691>107691=180s;107691>107692=180s;107691>107693=180s;107691>107694=180s;107691>107695=180s;107692>107689=180s;107692>107690=180s;107692>107691=180s;107692>107692=180s;107692>107693=180s;107692>107694=180s;107692>107695=180s;107693>107689=180s;107693>107690=180s;107693>107691=180s;107693>107692=180s;107693>107693=180s;107693>107694=180s;107693>107695=180s;107694>107689=180s;107694>107690=180s;107694>107691=180s;107694>107692=180s;107694>107693=180s;107694>107694=180s;107694>107695=180s;107695>107689=180s;107695>107690=180s;107695>107691=180s;107695>107692=180s;107695>107693=180s;107695>107694=180s;107695>107695=180s;107697>107697=180s;107697>107698=180s;107698>107697=180s;107698>107698=180s","medium","deterministic rank from 11 lines, 2 MATSim modes, 7 carsharing spaces, mp_id 1301","LHM tram=Ja vs MATSim tram=false"
"15","alternative","true","18","56","Pasinger Marienplatz","Pasinger Marienplatz","682974.822","5335535.508","4459920.675","5334441.044","44.7","109377","109377;109378;109379;109380;109380.1;109381;109387;109388;109389;109389.1;109389.2;109389.3;109390;109390.1;109390.2;109390.3;109390.4","109378;109379;109380;109380.1;109381;109388;109389;109389.1;109389.2;109389.3;109390;109390.1;109390.2;109390.3;109390.4","109377=[109377;109378;109379;109380;109380.1;109381]|109387=[109387;109388;109389;109389.1;109389.2;109389.3;109390;109390.1;109390.2;109390.3;109390.4]","Pasinger Marienplatz;Rathaus Pasing","11","XXX---19_MUC_Tram neu Prognose;XXX---2268583_3;XXX---2268589_3;XXX---2272009_0;XXX---2272029_0;XXX---2272036_3;XXX---2272037_3;XXX---2272052_3;XXX---2272074_3;XXX---2272076_3;XXX---23_MUC_Tram neu Prognose","88","bus;tram","bus=Ja|tram=Ja|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","4","110","25","109378>109378=180s;109378>109379=180s;109378>109380=180s;109378>109381=180s;109379>109378=180s;109379>109379=180s;109379>109380=180s;109379>109381=180s;109380>109378=180s;109380>109379=180s;109380>109380=180s;109380>109381=180s;109381>109378=180s;109381>109379=180s;109381>109380=180s;109381>109381=180s;109388>109388=180s;109388>109389=180s;109388>109390=180s;109389>109388=180s;109389>109389=180s;109389>109390=180s;109390>109388=180s;109390>109389=180s;109390>109390=180s","medium","deterministic rank from 11 lines, 2 MATSim modes, 4 carsharing spaces, mp_id 56","embedded line break in name"
"16","alternative","true","9","14","Kidlerplatz","Kidlerplatz 8, 58 Kidlerplatz 8, 58","689153.082","5332426.969","4465972.993","5331094.016","102.7","108565","108561;108563;108563.1;108563.2;108564;108565;108565.1;108565.2","108563;108563.1;108563.2;108564;108565;108565.1;108565.2","108561=[108561;108563;108563.1;108563.2;108564;108565;108565.1;108565.2]","Am Harras","11","XXX---2272033_3;XXX---2272034_3;XXX---2272052_3;XXX---2272053_3;XXX---2272054_3;XXX---2272068_3;XXX---2272125_3;XXX---2272126_3;XXX---2272127_3;XXX---2272128_3;XXX---2272140_3","37","bus","bus=Ja|tram=Nein|u_bahn=Ja|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:mismatch","7","110","9","108563>108563=180s;108563>108564=180s;108563>108565=180s;108564>108563=180s;108564>108564=180s;108564>108565=180s;108565>108563=180s;108565>108564=180s;108565>108565=180s","medium","deterministic rank from 11 lines, 1 MATSim modes, 7 carsharing spaces, mp_id 14","embedded line break in address; LHM u_bahn=Ja vs MATSim subway=false"
"17","alternative","true","111","37","Messestadt West","Willy-Brandt-Allee + Olof-Palme-Straße","700112.556","5334611.405","4477008.691","5332849.434","10.6","108852","108848;108849;108849.1;108849.2;108850;108850.1;108851;108852;108853;108853.1;108854;108854.1","108849;108849.1;108849.2;108850;108850.1;108851;108852;108853;108853.1;108854;108854.1","108848=[108848;108849;108849.1;108849.2;108850;108850.1;108851;108852;108853;108853.1;108854;108854.1]","Messestadt West","10","XXX---2268575_3;XXX---2268587_3;XXX---2268588_3;XXX---2271996_1;XXX---2272057_3;XXX---2272096_3;XXX---2272103_3;XXX---2272132_3;XXX---MUC_U2_neu Prognose;XXX---MUC_U4_neu Prognose","81","bus;subway","bus=Ja|tram=Nein|u_bahn=Ja|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","6","90","36","108849>108849=180s;108849>108850=180s;108849>108851=180s;108849>108852=180s;108849>108853=180s;108849>108854=180s;108850>108849=180s;108850>108850=180s;108850>108851=180s;108850>108852=180s;108850>108853=180s;108850>108854=180s;108851>108849=180s;108851>108850=180s;108851>108851=180s;108851>108852=180s;108851>108853=180s;108851>108854=180s;108852>108849=180s;108852>108850=180s;108852>108851=180s;108852>108852=180s;108852>108853=180s;108852>108854=180s;108853>108849=180s;108853>108850=180s;108853>108851=180s;108853>108852=180s;108853>108853=180s;108853>108854=180s;108854>108849=180s;108854>108850=180s;108854>108851=180s;108854>108852=180s;108854>108853=180s;108854>108854=180s","high","deterministic rank from 10 lines, 2 MATSim modes, 6 carsharing spaces, mp_id 37","none"
"18","alternative","true","26","42","Trudering Bahnhof Süd","Karpfenstr. / Truderinger straße 272","698260.888","5333615.099","4475119.737","5331926.153","42.4","107997","107994;107994.1;107994.2;107994.3;107994.4;107994.5;107994.6;107995;107995.1;107995.2;107996;107996.1;107996.2;107997","107994;107994.1;107994.2;107994.3;107994.4;107994.5;107994.6;107995;107995.1;107995.2;107996;107996.1;107996.2;107997","107993=[107994;107994.1;107994.2;107994.3;107994.4;107994.5;107994.6;107995;107995.1;107995.2;107996;107996.1;107996.2;107997]","Trudering","10","XXX---162459_109;XXX---162460_109;XXX---2272057_3;XXX---2272098_3;XXX---2272105_3;XXX---2272106_3;XXX---2272107_3;XXX---FT_NR_A;XXX---S1_Prognose_Ebersberg/Leuchtenbergring-Schwaigerlohe/Freising;XXX---S4_Prognose_Geltendorf-Grafing","141","bus;rail","bus=Ja|tram=Nein|u_bahn=Ja|s_bahn=Ja","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:mismatch","4","90","16","107994>107994=300s;107994>107995=300s;107994>107996=300s;107994>107997=300s;107995>107994=300s;107995>107995=300s;107995>107996=300s;107995>107997=300s;107996>107994=300s;107996>107995=300s;107996>107996=300s;107996>107997=300s;107997>107994=300s;107997>107995=300s;107997>107996=300s;107997>107997=300s","medium","deterministic rank from 10 lines, 2 MATSim modes, 4 carsharing spaces, mp_id 42","LHM u_bahn=Ja vs MATSim subway=false"
"19","alternative","true","8","1905","Fürstenried West","Schweizer Platz 2 / Graubündener Straße 9","684717.908","5329113.052","4461412.100","5327955.497","15.2","109213","109145;109146;109210;109211;109211.1;109212;109212.1;109213;109213.1;109214;109214.1;109214.2;109215;109215.1;109216;109216.1;109217;109217.1;109218","109146;109211;109211.1;109212;109212.1;109213;109213.1;109214;109214.1;109214.2;109215;109215.1;109216;109216.1;109217;109217.1;109218","109145=[109145;109146]|109210=[109210;109211;109211.1;109212;109212.1;109213;109213.1;109214;109214.1;109214.2;109215;109215.1;109216;109216.1;109217;109217.1;109218]","Fürstenried West;Maxhofstraße","10","XXX---2268584_3;XXX---2268585_3;XXX---2268591_3;XXX---2268767_3;XXX---2271997_1;XXX---2272036_3;XXX---2272054_3;XXX---2272080_3;XXX---2272126_3;XXX---MUC_U3_neu Prognose","88","bus;subway","bus=Ja|tram=Nein|u_bahn=Ja|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","4","90","65","109146>109146=0s;109211>109211=180s;109211>109212=180s;109211>109213=180s;109211>109214=180s;109211>109215=180s;109211>109216=180s;109211>109217=180s;109211>109218=180s;109212>109211=180s;109212>109212=180s;109212>109213=180s;109212>109214=180s;109212>109215=180s;109212>109216=180s;109212>109217=180s;109212>109218=180s;109213>109211=180s;109213>109212=180s;109213>109213=180s;109213>109214=180s;109213>109215=180s;109213>109216=180s;109213>109217=180s;109213>109218=180s;109214>109211=180s;109214>109212=180s;109214>109213=180s;109214>109214=180s;109214>109215=180s;109214>109216=180s;109214>109217=180s;109214>109218=180s;109215>109211=180s;109215>109212=180s;109215>109213=180s;109215>109214=180s;109215>109215=180s;109215>109216=180s;109215>109217=180s;109215>109218=180s;109216>109211=180s;109216>109212=180s;109216>109213=180s;109216>109214=180s;109216>109215=180s;109216>109216=180s;109216>109217=180s;109216>109218=180s;109217>109211=180s;109217>109212=180s;109217>109213=180s;109217>109214=180s;109217>109215=180s;109217>109216=180s;109217>109217=180s;109217>109218=180s;109218>109211=180s;109218>109212=180s;109218>109213=180s;109218>109214=180s;109218>109215=180s;109218>109216=180s;109218>109217=180s;109218>109218=180s","high","deterministic rank from 10 lines, 2 MATSim modes, 4 carsharing spaces, mp_id 1905","none"
"20","alternative","true","97","12","Kolumbusplatz","Kolumbusstraße 30","691728.845","5332887.253","4468564.658","5331453.532","36.7","106624","106334;106336;106337;106623;106624;106625;106626;106627;106628;106628.1;106629;106629.1;106630;106634;106635","106336;106337;106624;106625;106627;106628;106628.1;106629;106629.1;106630;106635","106334=[106334;106336;106337]|106623=[106623;106624;106625]|106626=[106626;106627;106628;106628.1;106629;106629.1;106630]|106634=[106634;106635]","Humboldtstraße;Kolumbusplatz;Kolumbusplatz (Nord);Kolumbusplatz / Humboldtstraße","9","XXX---2271995_1;XXX---2271996_1;XXX---2272001_1;XXX---2272032_3;XXX---2272038_3;XXX---2272043_3;XXX---2272129_3;XXX---MUC_U1_neu Prognose;XXX---MUC_U2_neu Prognose","70","bus;subway","bus=Ja|tram=Nein|u_bahn=Ja|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","7","72","25","106336>106336=180s;106336>106337=180s;106337>106336=180s;106337>106337=180s;106624>106624=180s;106624>106625=180s;106625>106624=180s;106625>106625=180s;106627>106627=180s;106627>106628=180s;106627>106629=180s;106627>106630=180s;106628>106627=180s;106628>106628=180s;106628>106629=180s;106628>106630=180s;106629>106627=180s;106629>106628=180s;106629>106629=180s;106629>106630=180s;106630>106627=180s;106630>106628=180s;106630>106629=180s;106630>106630=180s;106635>106635=0s","medium","deterministic rank from 9 lines, 2 MATSim modes, 7 carsharing spaces, mp_id 12","embedded line break in name"
