"rank","size","eligible","excel_row","mp_id","name","address","epsg25832_easting","epsg25832_northing","epsg31468_x","epsg31468_y","nearest_stop_distance_m","nearest_stop_id","matched_matsim_stop_ids","served_matsim_stop_ids","matched_stop_groups","matched_stop_names","distinct_line_count","matched_line_ids","route_count","matsim_modes","lhm_mode_flags","mode_flag_comparison","carsharing_spaces","possible_transfer_pair_count","current_transfer_relation_count","current_transfer_times","confidence","selection_reason","unresolved_issue"
"59","eligible_not_shortlisted","true","109","32","Gertrud-Grunow-Straße","Gertrud-Grunow-Straße 6 - 7","692987.477","5339979.332","4470098.869","5338490.828","70.6","107315","107315;107316;107317","107316;107317","107315=[107315;107316;107317]","Gertrud-Grunow-Straße","3","XXX---2272030_3;XXX---2272066_3;XXX---2272125_3","34","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","11","6","4","107316>107316=180s;107316>107317=180s;107317>107316=180s;107317>107317=180s","medium","deterministic rank from 3 lines, 1 MATSim modes, 11 carsharing spaces, mp_id 32","embedded line break in address"
"60","eligible_not_shortlisted","true","81","1403","August-Everding-Straße","August-Everding-Straße 20 (in der Grafinger Straße)","694306.793","5333474.335","4471163.414","5331939.648","67.0","107924","107920;107921;107923;107924;163497;163498;163499","107921;107923;107924;163498;163499","107920=[107920;107921;107923;107924]|163497=[163497;163498;163499]","August-Everding-Straße;Sankt Pius","3","XXX---2272039_3;XXX---2272103_3;XXX---2272104_3","21","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","8","6","13","107921>107921=180s;107921>107923=180s;107921>107924=180s;107923>107921=180s;107923>107923=180s;107923>107924=180s;107924>107921=180s;107924>107923=180s;107924>107924=180s;163498>163498=180s;163498>163499=180s;163499>163498=180s;163499>163499=180s","high","deterministic rank from 3 lines, 1 MATSim modes, 8 carsharing spaces, mp_id 1403","none"
"61","eligible_not_shortlisted","true","21","35","Max-Bill-Straße","Max-Bill Straße 14 - 16","692741.101","5340329.898","4469866.371","5338850.724","140.9","107369","107369;107369.1","107369;107369.1","107365=[107369;107369.1]","Schwabing Nord","3","XXX---2272091_3;XXX---2272141_3;XXX---2272142_3","8","bus","bus=Ja|tram=Ja|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:mismatch;u_bahn:match","7","6","1","107369>107369=180s","medium","deterministic rank from 3 lines, 1 MATSim modes, 7 carsharing spaces, mp_id 35","LHM tram=Ja vs MATSim tram=false"
"62","eligible_not_shortlisted","true","43","409","Herzogstraße","Herzogstraße 142","690647.419","5337657.849","4467670.117","5336262.497","20.6","106919","106919;106920;106920.1;106920.2;106921","106920;106920.1;106920.2;106921","106919=[106919;106920;106920.1;106920.2;106921]","Herzogstraße","3","XXX---2272014_0;XXX---2272028_0;XXX---27_MUC_Tram neu Prognose","10","tram","bus=Nein|tram=Ja|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","6","6","4","106920>106920=180s;106920>106921=180s;106921>106920=180s;106921>106921=180s","high","deterministic rank from 3 lines, 1 MATSim modes, 6 carsharing spaces, mp_id 409","none"
"63","eligible_not_shortlisted","true","50","1801","Schyrenbad","Schyrenstraße 8","691277.309","5332891.585","4468113.651","5331475.463","86.0","106333","106331;106332;106333","106332;106333","106331=[106331;106332;106333]","Claude-Lorrain-Straße","3","XXX---2272038_3;XXX---2272043_3;XXX---2272129_3","21","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","6","6","4","106332>106332=180s;106332>106333=180s;106333>106332=180s;106333>106333=180s","medium","deterministic rank from 3 lines, 1 MATSim modes, 6 carsharing spaces, mp_id 1801","none"
"64","eligible_not_shortlisted","true","83","26","Nibelungenstraße","Nibelungenstraße 18","687998.904","5336408.630","4464974.962","5335117.563","128.3","106691","106690;106691;106691.1;106692","106691;106691.1;106692","106690=[106690;106691;106691.1;106692]","Winthirplatz","3","XXX---2272041_3;XXX---2272127_3;XXX---2272128_3","20","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","5","6","4","106691>106691=180s;106691>106692=180s;106692>106691=180s;106692>106692=180s","medium","deterministic rank from 3 lines, 1 MATSim modes, 5 carsharing spaces, mp_id 26","none"
"65","eligible_not_shortlisted","true","74","52","Untersbergstraße","Untersbergstraße 33-35","692578.932","5332021.857","4469380.333","5330555.695","33.6","108645","108643;108644;108644.1;108645","108644;108644.1;108645","108643=[108643;108644;108644.1;108645]","Untersbergstraße","3","XXX---2271996_1;XXX---2272001_1;XXX---MUC_U2_neu Prognose","33","subway","bus=Nein|tram=Nein|u_bahn=Ja|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","5","6","4","108644>108644=180s;108644>108645=180s;108645>108644=180s;108645>108645=180s","high","deterministic rank from 3 lines, 1 MATSim modes, 5 carsharing spaces, mp_id 52","none"
"66","eligible_not_shortlisted","true","72","53","Hermine-von-Parish-Straße","Hermine-von Parish-Straße 3","684178.126","5335966.429","4461139.876","5334824.713","106.5","109755","109755;109756;109756.1;109757;109757.1","109756;109756.1;109757;109757.1","109755=[109755;109756;109756.1;109757;109757.1]","Schmaedelstraße","3","XXX---2272075_3;XXX---2272076_3;XXX---2272094_3","26","bus","bus=Ja|tram=Nein|u_bahn=Nein|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","5","6","4","109756>109756=180s;109756>109757=180s;109757>109756=180s;109757>109757=180s","medium","deterministic rank from 3 lines, 1 MATSim modes, 5 carsharing spaces, mp_id 53","none"
"67","eligible_not_shortlisted","true","12","47","Quiddestraße","Siegfried-Mollier-Straße","697008.686","5331563.971","4473788.628","5329925.538","22.4","108396","108395;108396;108397","108396;108397","108395=[108395;108396;108397]","Siegfried-Mollier-Straße","3","XXX---2272057_3;XXX---2272105_3;XXX---2272112_3","25","bus","bus=Ja|tram=Nein|u_bahn=Ja|s_bahn=Nein","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:mismatch","4","6","4","108396>108396=180s;108396>108397=180s;108397>108396=180s;108397>108397=180s","medium","deterministic rank from 3 lines, 1 MATSim modes, 4 carsharing spaces, mp_id 47","LHM u_bahn=Ja vs MATSim subway=false"
"68","eligible_not_shortlisted","true","71","57","Aubing","Colmdorfstraße 34","679535.839","5336412.172","4456518.436","5335451.178","72.4","109484","109483;109484;109484.1;109484.2","109484;109484.1;109484.2","109483=[109483;109484;109484.1;109484.2]","Aubing","3","XXX---162457_109;XXX---162459_109;XXX---S4_Prognose_Geltendorf-Grafing","71","rail","bus=Nein|tram=Nein|u_bahn=Nein|s_bahn=Ja","bus:match;s_bahn:match_via_rail_proxy;tram:match;u_bahn:match","3","6","1","109484>109484=300s","high","deterministic rank from 3 lines, 1 MATSim modes, 3 carsharing spaces, mp_id 57","none"
