final_rank,size,mp_id,hub_name,from_stop_id,from_stop_name,from_stop_area_id,from_stop_modes,to_stop_id,to_stop_name,to_stop_area_id,to_stop_modes,minimal_transfer_time_s,pair_type,within_confirmed_hub_node,candidate_for_later_change,review_note
1,large,506,Ostbahnhof station complex,106085,Ostbahnhof,106075,subway,106081,Ostbahnhof,106075,bus,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106085,Ostbahnhof,106075,subway,106082,Ostbahnhof,106075,tram,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106085,Ostbahnhof,106075,subway,106083,Ostbahnhof,106075,tram,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106085,Ostbahnhof,106075,subway,106084,Ostbahnhof,106075,bus,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106085,Ostbahnhof,106075,subway,106085,Ostbahnhof,106075,subway,180,same-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106085,Ostbahnhof,106075,subway,106086,Ostbahnhof,106075,subway,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106086,Ostbahnhof,106075,subway,106076,Ostbahnhof,106075,bus,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106086,Ostbahnhof,106075,subway,106077,Ostbahnhof,106075,rail,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106086,Ostbahnhof,106075,subway,106078,Ostbahnhof,106075,bus,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106086,Ostbahnhof,106075,subway,106079,Ostbahnhof,106075,bus,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106086,Ostbahnhof,106075,subway,106080,Ostbahnhof,106075,bus,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106086,Ostbahnhof,106075,subway,106081,Ostbahnhof,106075,bus,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106086,Ostbahnhof,106075,subway,106082,Ostbahnhof,106075,tram,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106086,Ostbahnhof,106075,subway,106083,Ostbahnhof,106075,tram,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106086,Ostbahnhof,106075,subway,106084,Ostbahnhof,106075,bus,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106086,Ostbahnhof,106075,subway,106085,Ostbahnhof,106075,subway,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,106086,Ostbahnhof,106075,subway,106086,Ostbahnhof,106075,subway,180,same-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,107901,Ostbahnhof (Post),107900,bus,107901,Ostbahnhof (Post),107900,bus,180,same-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,107901,Ostbahnhof (Post),107900,bus,107902,Ostbahnhof (Post),107900,bus,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,107902,Ostbahnhof (Post),107900,bus,107901,Ostbahnhof (Post),107900,bus,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,107902,Ostbahnhof (Post),107900,bus,107902,Ostbahnhof (Post),107900,bus,180,same-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,182908,München Ost,182907,rail,182908,München Ost,182907,rail,0,same-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,182908,München Ost,182907,rail,182909,Ostbahnhof 2.Stammstrecke,182907,rail,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,182909,Ostbahnhof 2.Stammstrecke,182907,rail,182908,München Ost,182907,rail,180,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
1,large,506,Ostbahnhof station complex,182909,Ostbahnhof 2.Stammstrecke,182907,rail,182909,Ostbahnhof 2.Stammstrecke,182907,rail,0,same-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
2,large,312,ZOB / Hackerbrücke station complex,106098,Hackerbrücke,106097,rail,106098,Hackerbrücke,106097,rail,300,same-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
2,large,312,ZOB / Hackerbrücke station complex,106098,Hackerbrücke,106097,rail,106099,Hackerbrücke,106097,tram,300,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
2,large,312,ZOB / Hackerbrücke station complex,106098,Hackerbrücke,106097,rail,106100,Hackerbrücke,106097,tram,300,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
2,large,312,ZOB / Hackerbrücke station complex,106098,Hackerbrücke,106097,rail,106101,Hackerbrücke,106097,bus,300,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
2,large,312,ZOB / Hackerbrücke station complex,106098,Hackerbrücke,106097,rail,106102,Hackerbrücke,106097,bus,300,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
2,large,312,ZOB / Hackerbrücke station complex,106098,Hackerbrücke,106097,rail,106103,Hackerbrücke,106097,rail,300,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
2,large,312,ZOB / Hackerbrücke station complex,106099,Hackerbrücke,106097,tram,106098,Hackerbrücke,106097,rail,300,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
2,large,312,ZOB / Hackerbrücke station complex,106099,Hackerbrücke,106097,tram,106099,Hackerbrücke,106097,tram,300,same-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
2,large,312,ZOB / Hackerbrücke station complex,106099,Hackerbrücke,106097,tram,106100,Hackerbrücke,106097,tram,300,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
2,large,312,ZOB / Hackerbrücke station complex,106099,Hackerbrücke,106097,tram,106101,Hackerbrücke,106097,bus,300,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
2,large,312,ZOB / Hackerbrücke station complex,106099,Hackerbrücke,106097,tram,106102,Hackerbrücke,106097,bus,300,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
2,large,312,ZOB / Hackerbrücke station complex,106099,Hackerbrücke,106097,tram,106103,Hackerbrücke,106097,rail,300,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
2,large,312,ZOB / Hackerbrücke station complex,106100,Hackerbrücke,106097,tram,106098,Hackerbrücke,106097,rail,300,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
2,large,312,ZOB / Hackerbrücke station complex,106100,Hackerbrücke,106097,tram,106099,Hackerbrücke,106097,tram,300,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
2,large,312,ZOB / Hackerbrücke station complex,106100,Hackerbrücke,106097,tram,106100,Hackerbrücke,106097,tram,300,same-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
2,large,312,ZOB / Hackerbrücke station complex,106100,Hackerbrücke,106097,tram,106101,Hackerbrücke,106097,bus,300,directed cross-stop,yes,yes,Existing explicit MATSim relation only; no value has been changed.
