scenario_id,sample_factor,unit,iteration,mode,stuck_event_count,relevant_both_inside_person_stuck_events,unique_affected_persons,unique_relevant_both_inside_persons,definition
BAU_2040,0.05,events,29,ALL,217,38,217,38,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,29,pt,214,38,214,38,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,29,walk,3,0,3,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,30,ALL,229,35,229,35,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,30,pt,226,35,226,35,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,30,walk,3,0,3,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,31,ALL,231,42,231,42,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,31,pt,228,42,228,42,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,31,walk,3,0,3,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,32,ALL,240,36,240,36,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,32,pt,236,36,236,36,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,32,walk,4,0,4,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,33,ALL,206,31,206,31,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,33,pt,204,31,204,31,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,33,walk,2,0,2,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,34,ALL,207,38,207,38,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,34,pt,204,38,204,38,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,34,walk,3,0,3,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,35,ALL,195,26,195,26,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,35,pt,190,26,190,26,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,35,walk,5,0,5,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,36,ALL,209,32,209,32,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,36,pt,205,32,205,32,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,36,walk,4,0,4,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,37,ALL,194,33,194,33,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,37,pt,194,33,194,33,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,38,ALL,172,22,172,22,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,38,pt,170,22,170,22,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,38,walk,2,0,2,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,39,ALL,200,31,200,31,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,39,pt,199,31,199,31,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,39,walk,1,0,1,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,40,ALL,180,23,180,23,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,40,pt,176,23,176,23,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,40,walk,4,0,4,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,41,ALL,177,27,177,27,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,41,pt,172,27,172,27,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,41,walk,5,0,5,0,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,42,ALL,165,28,165,28,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
BAU_2040,0.05,events,42,pt,160,28,160,28,"PersonStuckEvent; relevant persons have at least one BOTH_INSIDE main trip"
