scenario_id,sample_factor,unit,main_mode,sample_trip_count,expanded_trip_count_factor_20,sample_person_km,expanded_person_km_factor_20,pkm_share_percent,mean_trip_distance_km,median_trip_distance_km,mean_travel_time_minutes,measurement_record_count,measurement_coverage_percent,missing_or_invalid_distance_time_count,definition
BAU_2040,0.05,person_km,car,60118,1202360.000000000000,406182.782000000000,8123655.640000001000,34.621611334125,6.756425396720,5.965000000000,15.328822482451,60118,100.000000000000,0,"MATSim output_trips traveled_distance: complete routed main-trip distance, including access, egress and transfer legs; not event distance"
BAU_2040,0.05,person_km,pt,53499,1069980.000000000000,400691.187000000000,8013823.739999999000,34.153526826066,7.489694891493,6.550000000000,30.499650460756,53499,100.000000000000,0,"MATSim output_trips traveled_distance: complete routed main-trip distance, including access, egress and transfer legs; not event distance"
BAU_2040,0.05,person_km,bike,35156,703120.000000000000,247161.239000000000,4943224.780000000000,21.067166637110,7.030414125612,6.370000000000,30.781766033299,35156,100.000000000000,0,"MATSim output_trips traveled_distance: complete routed main-trip distance, including access, egress and transfer legs; not event distance"
BAU_2040,0.05,person_km,walk,33744,674880.000000000000,119170.678000000000,2383413.560000000000,10.157695202699,3.531610893789,2.354000000000,44.136858898372,33744,100.000000000000,0,"MATSim output_trips traveled_distance: complete routed main-trip distance, including access, egress and transfer legs; not event distance"
