scenario_id,sample_factor,unit,pt_route_mode,sample_in_vehicle_person_km,expanded_in_vehicle_person_km_factor_20,sample_boardings,expanded_boardings_factor_20,measurement_coverage_percent,missing_route_or_vehicle_references,definition
BAU_2040,0.05,person_km,bus,50840.203356625710,1016804.067132514200,16958,339160.000000000000,100.000000000000,0,"routed in-vehicle distance between the actual boarding and alighting stops on a BOTH_INSIDE main trip; route mode and link sequence from TransitSchedule; access/egress and transfers are not extra main trips"
BAU_2040,0.05,person_km,ferry,0.000000000000,0.000000000000,0,0.000000000000,100.000000000000,0,"routed in-vehicle distance between the actual boarding and alighting stops on a BOTH_INSIDE main trip; route mode and link sequence from TransitSchedule; access/egress and transfers are not extra main trips"
BAU_2040,0.05,person_km,rail,65076.612628877540,1301532.252577550700,9534,190680.000000000000,100.000000000000,0,"routed in-vehicle distance between the actual boarding and alighting stops on a BOTH_INSIDE main trip; route mode and link sequence from TransitSchedule; access/egress and transfers are not extra main trips"
BAU_2040,0.05,person_km,subway,181962.985791937860,3639259.715838757300,33899,677980.000000000000,100.000000000000,0,"routed in-vehicle distance between the actual boarding and alighting stops on a BOTH_INSIDE main trip; route mode and link sequence from TransitSchedule; access/egress and transfers are not extra main trips"
BAU_2040,0.05,person_km,tram,38730.254286159210,774605.085723184200,11026,220520.000000000000,100.000000000000,0,"routed in-vehicle distance between the actual boarding and alighting stops on a BOTH_INSIDE main trip; route mode and link sequence from TransitSchedule; access/egress and transfers are not extra main trips"
