scenario_id,scope_id,sample_factor,unit,main_mode,sample_daily_trip_count,unscaled_modal_share_percent,expanded_daily_trip_count_factor_20,illustrative_annual_equivalent_365_days,standard_output_trip_row_count,measurement_coverage_percent,missing_structural_trip_count,definition
BAU_2040,BOTH_INSIDE,0.05,trips,car,60118,32.938301637656,1202360.000000000000,438861400.000000000000,60118,100.000000000000,0,"selected-plan MATSim main trips with both main-activity endpoints covered by Munich boundary; stage activities excluded"
BAU_2040,BOTH_INSIDE,0.05,trips,pt,53499,29.311790134618,1069980.000000000000,390542700.000000000000,53499,100.000000000000,0,"selected-plan MATSim main trips with both main-activity endpoints covered by Munich boundary; stage activities excluded"
BAU_2040,BOTH_INSIDE,0.05,trips,bike,35156,19.261767397010,703120.000000000000,256638800.000000000000,35156,100.000000000000,0,"selected-plan MATSim main trips with both main-activity endpoints covered by Munich boundary; stage activities excluded"
BAU_2040,BOTH_INSIDE,0.05,trips,walk,33744,18.488140830717,674880.000000000000,246331200.000000000000,33744,100.000000000000,0,"selected-plan MATSim main trips with both main-activity endpoints covered by Munich boundary; stage activities excluded"
BAU_2040,MUNICH_RESIDENTS,0.05,trips,car,55177,34.087230493606,1103540.000000000000,402792100.000000000000,55177,100.000000000000,0,"all selected-plan MATSim main trips of persons with a documented covered home activity; stage activities excluded"
BAU_2040,MUNICH_RESIDENTS,0.05,trips,pt,54201,33.484277506641,1084020.000000000000,395667300.000000000000,54201,100.000000000000,0,"all selected-plan MATSim main trips of persons with a documented covered home activity; stage activities excluded"
BAU_2040,MUNICH_RESIDENTS,0.05,trips,bike,34432,21.271390622104,688640.000000000000,251353600.000000000000,34432,100.000000000000,0,"all selected-plan MATSim main trips of persons with a documented covered home activity; stage activities excluded"
BAU_2040,MUNICH_RESIDENTS,0.05,trips,walk,18060,11.157101377649,361200.000000000000,131838000.000000000000,18060,100.000000000000,0,"all selected-plan MATSim main trips of persons with a documented covered home activity; stage activities excluded"
