mode,bau_territorial_expanded_trips_per_technical_weekday,fast_track_territorial_expanded_trips_per_technical_weekday,absolute_trip_change,relative_trip_change_percent,bau_trip_based_modal_share_percent,fast_track_trip_based_modal_share_percent,modal_share_change_percentage_points,bau_territorial_annualized_pkm_million,fast_track_territorial_annualized_pkm_million,pkm_absolute_change_million,pkm_relative_change_percent,bau_territorial_annualized_fkm_million,fast_track_territorial_annualized_fkm_million,fkm_absolute_change_million,fkm_relative_change_percent,data_coverage_status
car,1925900,1916620,-9280,-0.4818526403240044,37.68117643375908,37.365820943825135,-0.3153554899339426,7789.84464640731,7789.456829548705,-0.38781685860521975,-0.004978492848173571,5193.22976427154,5192.971219699137,-0.25854457240347983,-0.004978492848173571,BAU: PASS_EVENT_RECONCILED | Fast Track: PASS_EVENT_RECONCILED
pt,1453900,1474820,20920,1.4388885067748813,28.446265339343853,28.752627043635243,0.3063617042913904,4103.623596909514,4184.340149022867,80.71655211335292,1.9669579874270504,123.09563058158129,126.31873675483459,3.2231061732532993,2.618375776642368,BAU: SUBTOTAL_MIXED_VEHICLE_UNITS | Fast Track: SUBTOTAL_MIXED_VEHICLE_UNITS
bike,987660,993980,6320,0.6398963205961565,19.32405146506386,19.378321577434914,0.054270112371053614,2624.3569124780765,2657.0736412317883,32.71672875371178,1.2466569847322582,2624.3569124780765,2657.0736412317883,32.71672875371178,1.2466569847322582,BAU: PASS_COMPLETED_ACTIVE_LEGS | Fast Track: PASS_COMPLETED_ACTIVE_LEGS
walk,743580,743920,340,0.04572473708276177,14.548506761833208,14.503230435104712,-0.04527632672849613,1583.9037769303866,1595.8293077528679,11.925530822481278,0.7529201581672478,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,BAU: REPORTED_WITH_UNRESOLVED_ACTIVE_LEGS | Fast Track: REPORTED_WITH_UNRESOLVED_ACTIVE_LEGS
TOTAL,5111040,5129340,18300,0.35804845980465816,100,100,0,16101.72893272529,16226.699927556227,124.97099483093734,0.776134012397546,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,BAU: TOTAL_NO_PT_DOUBLE_COUNT | Fast Track: TOTAL_NO_PT_DOUBLE_COUNT | Fkm is not aggregated across vehicle units
