pt_route_mode,vehicle_distance_unit,bau_territorial_annualized_pkm_million,fast_track_territorial_annualized_pkm_million,pkm_absolute_change_million,pkm_relative_change_percent,bau_full_service_annualized_fkm_million,fast_track_full_service_annualized_fkm_million,fkm_absolute_change_million,fkm_relative_change_percent,bau_average_occupancy,fast_track_average_occupancy,occupancy_absolute_change,data_coverage_status
bus,MATSim transit vehicle trajectory km,467.62595872932127,457.48228000402787,-10.143678725293398,-2.169186405488863,41.078263085993335,41.078263085993335,0,0,11.383781192266868,11.136845758213617,-0.2469354340532508,BAU: PASS_REPORTED_FOR_REVIEW; PASS_VALIDATED_PT_ACCOUNTING; PASS_COMPLETE_EVENT_AND_VALIDATED_SOURCE; REQUIRES_EXTERNAL_UNIT_MAPPING | Fast Track: PASS_REPORTED_FOR_REVIEW; PASS_VALIDATED_PT_ACCOUNTING; PASS_COMPLETE_EVENT_AND_VALIDATED_SOURCE; REQUIRES_EXTERNAL_UNIT_MAPPING
tram,MATSim transit vehicle trajectory km,348.3500699961873,339.3989300943768,-8.951139901810507,-2.5695817721260905,23.244450523818784,23.244450523818784,0,0,14.98637576479728,14.60128858484273,-0.3850871799545512,BAU: PASS_REPORTED_FOR_REVIEW; PASS_VALIDATED_PT_ACCOUNTING; PASS_COMPLETE_EVENT_AND_VALIDATED_SOURCE; REQUIRES_EXTERNAL_UNIT_MAPPING | Fast Track: PASS_REPORTED_FOR_REVIEW; PASS_VALIDATED_PT_ACCOUNTING; PASS_COMPLETE_EVENT_AND_VALIDATED_SOURCE; REQUIRES_EXTERNAL_UNIT_MAPPING
subway,MATSim transit vehicle trajectory km,1655.8267842355367,1688.7429063778718,32.9161221423351,1.987896466932188,28.90830321425004,31.01118074167501,2.102877527424969,7.274302859769292,57.27858781484327,54.455937052032986,-2.8226507628102837,BAU: PASS_REPORTED_FOR_REVIEW; PASS_VALIDATED_PT_ACCOUNTING; PASS_COMPLETE_EVENT_AND_VALIDATED_SOURCE; REQUIRES_EXTERNAL_UNIT_MAPPING | Fast Track: PASS_REPORTED_FOR_REVIEW; PASS_VALIDATED_PT_ACCOUNTING; PASS_COMPLETE_EVENT_AND_VALIDATED_SOURCE; REQUIRES_EXTERNAL_UNIT_MAPPING
rail,MATSim transit vehicle trajectory km,1631.8207839484687,1698.7160325465904,66.89524859812173,4.099423739183984,29.864613757519137,30.98484240334746,1.1202286458283233,3.7510233848119956,54.64061237147654,54.82409787448423,0.18348550300768807,BAU: PASS_REPORTED_FOR_REVIEW; PASS_VALIDATED_PT_ACCOUNTING; PASS_COMPLETE_EVENT_AND_VALIDATED_SOURCE; REQUIRES_EXTERNAL_UNIT_MAPPING | Fast Track: PASS_REPORTED_FOR_REVIEW; PASS_VALIDATED_PT_ACCOUNTING; PASS_COMPLETE_EVENT_AND_VALIDATED_SOURCE; REQUIRES_EXTERNAL_UNIT_MAPPING
PT total,mixed MATSim transit vehicle trajectory km,4103.623596909514,4184.340149022867,80.71655211335292,1.9669579874270504,123.09563058158129,126.31873675483459,3.2231061732532993,2.618375776642368,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,BAU: SUBTOTAL_MIXED_VEHICLE_UNITS | Fast Track: SUBTOTAL_MIXED_VEHICLE_UNITS | Mixed vehicle-unit subtotal; do not use this occupancy for costing
