age_group;population_2023;population_2040
0-2;45688;53799
3-5;41570;48732
6-9;52549;60292
10-15;61323;82689
16-18;36271;43193
19-24;118515;134405
25-39;394128;482054
40-64;484139;551932
65-74;116997;139855
75+;137539;155115
;;
;;
;;
;;
;;
;;
;;
